en,zh,is_root
one,一,FALSE
alone,独自,FALSE
lonely,寂寞,FALSE
clone,克隆,FALSE
union,联合,FALSE
unit,单元,FALSE
uniform,制服,FALSE
unite,联合,FALSE
united,联合的,FALSE
unicorn,独角兽,FALSE
universe,宇宙,FALSE
unilateral,单边的,FALSE
unify,统一,FALSE
monopoly,垄断,FALSE
monotonous,单调的,FALSE
tone,腔调,FALSE
tune,曲调,FALSE
many,很多,FALSE
exit,安全出口,TRUE
initiate,入门，首创,FALSE
initiative,首创的,FALSE
initial,开始的,FALSE
circuit,环行,FALSE
circle,圆圈,FALSE
cargo,货物,FALSE
carriage,马车,FALSE
car,车,TRUE
career,生涯,FALSE
handcar,手摇车,FALSE
flat-car,平板车,FALSE
horse-car,有轨电车,FALSE
street-car,有轨电车,FALSE
car-wash,洗车,FALSE
cable-car,缆车,FALSE
cable,缆绳，电缆,FALSE
cable car,有线电视,FALSE
stock-car,比赛用车,FALSE
car-sick,晕车,FALSE
car-pool,共享车,FALSE
pool,池,FALSE
motor,马达,FALSE
motion,运动,FALSE
motorbike,摩托车,FALSE
motorcar,汽车,FALSE
boxcar,车厢,FALSE
cur-,跑,TRUE
precursor,先驱,FALSE
bio-,生命,TRUE
anti-,反,TRUE
antibiotic,抗生素的,FALSE
aerobic,需氧的,FALSE
aerobics,有氧健身法,FALSE
biography,人生传记,FALSE
transform,变形,FALSE
form,形式 形状,TRUE
formal,正式的,FALSE
formula,公式,FALSE
formulate,用公式阐述,FALSE
conform,遵守,FALSE
deform,使变形,FALSE
reform,改革,FALSE
perform,完成,FALSE
performance,成绩,FALSE
performer,表现者,FALSE
format,格式,FALSE
amorphous,无定型的,FALSE
cult-,种植,TRUE
culture,文化,TRUE
cultivate,种植,TRUE
acre,亩,FALSE
agri-,土,TRUE
aqua-,水,TRUE
aquatic,水生的,FALSE
opaque,不透明的,FALSE
Aquarius,水瓶座,FALSE
aquarium,水族馆,FALSE
audi-,听,TRUE
audit,旁听,FALSE
teller,讲述者,FALSE
auditor,旁听者,FALSE
audience,听众,FALSE
audible,听得见,FALSE
inaudible,听不见的,FALSE
aural,听觉的,FALSE
oral,口头的,FALSE
medi-,中间,TRUE
media,媒体,FALSE
mediate,调解,FALSE
immediate,立即,FALSE
medieval,中世纪的,FALSE
miss-,扔 投,TRUE
commission,委托,FALSE
mission,使命,FALSE
missionary,传教士,FALSE
dismiss,解散,FALSE
missile,可发射的,FALSE
transmission,发射,FALSE
submission,提交,FALSE
