英文,中文,是否词根
plic-,叠,TRUE
plex-,叠,TRUE
plus,加,TRUE
implicit,含蓄的,FALSE
explicit,坦白的,FALSE
complicate,使复杂,TRUE
complicated,复杂的,FALSE
replicate,复制,TRUE
duplicate,复制,FALSE
reply,回答,TRUE
comply,服从,TRUE
supply,提供,TRUE
implication,暗示,TRUE
imply,暗示,TRUE
plus,加,TRUE
plex,叠,TRUE
ply,折,TRUE
music,音乐,FALSE
Muse-,艺术,TRUE
amuse,使娱乐,FALSE
amusement,娱乐,FALSE
museum,博物馆,FALSE
physical,身体的,FALSE
ics,science,FALSE
physics,物理学,FALSE
physiology,生理学,FALSE
cave,洞,FALSE
concave,凹面的,FALSE
convex,凸面的,FALSE
climb,爬,FALSE
limb,四肢,FALSE
limp,跛行,FALSE
psycho-,心理,TRUE
psychology,心理学,FALSE
psychological,心理的,FALSE
psychiatry,精神病学,FALSE
treat,对待,FALSE
treatment,治疗,FALSE
psychiatrist,精神病医生,FALSE
log,说话,TRUE
ology,学,TRUE
biology,生物学,FALSE
theology,神学,FALSE
ecology,生态学,FALSE
geology,地质学,FALSE
ideology,意识形态学,FALSE
sociology,社会学,FALSE
social,社会的,FALSE
associate,联系,TRUE
society,社会,FALSE
dent-,牙齿,TRUE
oral,口的,FALSE
orator,演讲家,FALSE
rhetoric,华丽辞藻,FALSE
inexorable,不为所动的,FALSE
see,看,FALSE
nose,鼻子,FALSE
hose,软管,FALSE
mouth,嘴,FALSE
mustache,胡子,FALSE
hear,听,FALSE
heart,心脏,FALSE
artery,动脉,FALSE
last,最后,FALSE
elastic,有弹性的,TRUE
plastic,塑性的,FALSE
plaster,石膏,FALSE
Vivian,90,FALSE
virgin,少女,FALSE
woman,女人,FALSE
wife,妻子,FALSE
widow,寡妇,FALSE
witch,巫婆,FALSE
wicked,邪恶的,FALSE
way,路,FALSE
vade-,走,TRUE
invade,入侵,FALSE
invasive,入侵的,FALSE
invasion,入侵,FALSE
evasion,逃避,FALSE
evade,逃避,FALSE
evasive,逃避的,FALSE
permeate,渗透,FALSE
pervasive,弥漫,FALSE
pervasion,弥漫,FALSE
city,城市,FALSE
village,村庄,FALSE
civil,全民的,FALSE
urbanize,城市化,FALSE
urban,都市的,FALSE
rural,乡村的,FALSE
rustic,乡村的,FALSE
rest,休息,TRUE
rust,生锈,FALSE
log,说,TRUE
catalogue,目录,TRUE
category,分类,FALSE
dialogue,对话,FALSE
monologue,独白,FALSE
cable,缆绳,FALSE
canal,运河,FALSE
canoe,独木舟,FALSE
cannon,大炮,FALSE
volcano,火山,FALSE
sugar cane,甘蔗,FALSE
faeces,粪便,FALSE
defecate,排便,FALSE
sect,切,TRUE
section,部分,FALSE
sector,部分，扇形,FALSE
insect,昆虫,FALSE
seg-,切,TRUE
segment,片段,FALSE
greg-,集合,TRUE
group,组,FALSE
aggregate,集合,FALSE
segregate,隔离,FALSE
separate,分开,TRUE
secure,安全的,TRUE
rescue,营救,FALSE
